keyword,organizasyon,spor_dali,musabaka_tipi,lig_seviyesi,cinsiyet,kulup_milli,takim_bireysel,cografya,yerlilik,turk_baglantisi,yayin_hakki,periyodiklik,takvim_tipi,sayfa_tipi,intent_katmani,entity_tipi,marka_tipi,dil,sorgu_uzunlugu,varyant_kodu,kulup,oyuncu_ana_ad,search_volume,competition,competition_index,cpc,low_bid,high_bid,veri_var,2026-07,2026-06,2026-05,2026-04,2026-03,2026-02,2026-01,2025-12,2025-11,2025-10,2025-09,2025-08,2025-07,2025-06,2025-05,2025-04,2025-03,2025-02,2025-01,2024-12,2024-11,2024-10,2024-09,2024-08,2024-07,2024-06,2024-05,2024-04,2024-03,2024-02,2024-01
tom aspinall,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,tom aspinall,14800,LOW,1,,0.23,0.99,evet,9900,14800,9900,5400,6600,6600,6600,8100,12100,74000,12100,22200,22200,27100,12100,14800,33100,14800,18100,18100,40500,9900,5400,9900,14800,4400,3600,4400,3600,1600,2400
tom aspinall kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,tom aspinall,10,LOW,0,,,,evet,10,10,10,10,0,10,10,10,10,20,10,20,10,10,10,10,20,10,10,20,30,10,0,0,0,0,0,0,0,0,0
tom aspinall maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,tom aspinall,40,LOW,2,,,,evet,10,10,10,10,10,10,10,10,10,320,140,40,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tom aspinall istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,tom aspinall,10,LOW,0,,,,evet,10,30,20,10,10,10,10,10,10,30,10,30,70,50,20,20,90,40,50,70,210,30,0,0,0,0,0,0,0,0,0
alexander volkov,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,alexander volkov,1000,LOW,0,,,,evet,720,1000,1900,590,720,590,720,590,720,2400,480,880,1300,1000,720,720,880,1000,1300,2400,1600,1000,1000,1300,1300,1900,720,720,590,480,480
alexander volkov kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alexander volkov,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander volkov maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,alexander volkov,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
alexander volkov istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,alexander volkov,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergei pavlovich,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,sergei pavlovich,590,LOW,0,,,,evet,480,720,1300,590,480,390,480,390,390,720,320,1000,590,480,390,590,590,1000,720,480,720,390,320,480,480,1300,390,590,590,390,720
sergei pavlovich kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,sergei pavlovich,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergei pavlovich maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,sergei pavlovich,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
sergei pavlovich istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,sergei pavlovich,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh hokit,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,josh hokit,3600,LOW,0,,,,evet,1900,18100,14800,5400,320,210,590,70,210,30,10,70,10,10,10,10,10,0,10,10,0,10,10,10,10,10,10,10,10,10,10
josh hokit kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,josh hokit,10,LOW,0,,,,evet,10,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
josh hokit maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,josh hokit,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
josh hokit istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,josh hokit,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waldo cortes-acosta kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,waldo cortes-acosta,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waldo cortes-acosta maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,waldo cortes-acosta,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
waldo cortes-acosta istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,waldo cortes-acosta,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curtis blaydes,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,curtis blaydes,720,LOW,1,,,,evet,590,880,880,1900,590,390,480,390,480,1300,320,590,1000,2400,480,590,1900,880,720,720,1600,590,480,720,2400,480,480,390,720,210,260
curtis blaydes kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,curtis blaydes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curtis blaydes maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,curtis blaydes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
curtis blaydes istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,curtis blaydes,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rizvan kuniev,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,rizvan kuniev,140,LOW,0,,,,evet,480,90,90,70,50,480,70,50,40,90,30,140,140,1000,90,110,590,260,170,140,20,20,10,70,10,0,0,10,10,10,0
rizvan kuniev kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,rizvan kuniev,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rizvan kuniev maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,rizvan kuniev,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rizvan kuniev istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,rizvan kuniev,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitor petrino,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,vitor petrino,110,LOW,1,,,,evet,90,50,50,50,480,40,50,50,40,320,50,70,390,70,50,70,50,90,70,390,70,70,20,70,50,90,480,260,390,90,10
vitor petrino kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,vitor petrino,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitor petrino maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,vitor petrino,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
vitor petrino istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,vitor petrino,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serghei spivac,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,serghei spivac,50,LOW,0,,,,evet,30,70,50,40,40,110,30,30,110,50,20,40,50,90,30,40,50,30,170,40,50,30,10,170,30,20,30,30,10,10,30
serghei spivac kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,serghei spivac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serghei spivac maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,serghei spivac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
serghei spivac istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,serghei spivac,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante delija,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,ante delija,320,LOW,0,,,,evet,70,110,110,70,40,480,70,50,480,1000,880,140,90,90,10,30,30,10,10,20,30,50,20,30,30,10,10,50,20,30,10
ante delija kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ante delija,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante delija maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,ante delija,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ante delija istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,ante delija,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derrick lewis,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,derrick lewis,2400,LOW,0,,,,evet,1600,8100,2900,1600,1000,1000,5400,1600,1300,1600,880,1900,9900,1300,880,720,1000,1000,1000,720,1600,1000,390,590,480,880,2400,720,590,480,590
derrick lewis kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,derrick lewis,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derrick lewis maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,derrick lewis,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
derrick lewis istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,derrick lewis,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario pinto,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,mario pinto,210,LOW,0,,,,evet,140,50,50,50,480,110,50,50,70,1300,90,50,40,20,10,10,170,110,10,10,10,30,10,10,10,10,10,10,10,20,20
mario pinto kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,mario pinto,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario pinto maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,mario pinto,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mario pinto istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,mario pinto,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
magomed ankalaev,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,magomed ankalaev,5400,LOW,1,,0.08,0.65,evet,6600,2400,2900,1900,2400,2400,2900,2900,4400,18100,5400,12100,8100,5400,4400,5400,40500,9900,6600,3600,4400,6600,1300,1600,2400,3600,2900,1900,1000,1000,5400
magomed ankalaev kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,magomed ankalaev,10,LOW,0,,,,evet,10,0,10,0,10,10,10,10,10,20,20,30,10,10,10,10,140,20,10,10,20,20,10,10,20,30,260,20,20,40,320
magomed ankalaev maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,magomed ankalaev,10,LOW,8,0.13,,,evet,10,10,10,10,0,10,10,10,10,10,10,50,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
magomed ankalaev istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,magomed ankalaev,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khalil rountree,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,khalil rountree,1600,LOW,1,,0.15,0.44,evet,1900,2900,1300,880,1000,720,720,720,1000,5400,1300,1600,1900,6600,1000,1300,2400,2400,1900,2400,4400,9900,3600,4400,260,390,590,1000,390,320,320
khalil rountree kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,khalil rountree,10,LOW,0,,,,evet,10,10,10,10,10,10,0,10,10,20,10,10,10,10,0,10,10,10,10,10,10,50,0,0,0,0,0,0,0,0,0
khalil rountree maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,khalil rountree,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
khalil rountree istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,khalil rountree,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navajo stirling kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,navajo stirling,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navajo stirling maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,navajo stirling,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
navajo stirling istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,navajo stirling,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paulo costa,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Jenerik,Bilgi,Oyuncu,Jenerik,Türkçe,Head,Oyuncu Jenerik,,paulo costa,1600,LOW,1,,,,evet,1300,1000,1900,4400,1000,720,880,720,880,1000,1900,1900,5400,1300,880,1000,1000,1000,880,720,1300,1000,590,1000,880,2900,3600,1900,1300,2900,1000
paulo costa kimdir,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,paulo costa,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paulo costa maçı,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,Oyuncu Bilgi,Bilgi,Oyuncu,Jenerik,Türkçe,Body,Oyuncu Bilgi,,paulo costa,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
paulo costa istatistik,UFC,Dövüş Sporları,Bireysel Sıralama Serisi,1. Seviye,Erkek,Bireysel,Bireysel Spor,Global,Uluslararası,Yok,Doğrulanacak,Sürekli,Tek Etkinlik,İstatistik,Bilgi,Oyuncu,Jenerik,Türkçe,Body,İstatistik,,paulo costa,,,,,,,hayir,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
